title,authors,year,citationCount,abstract,keywords
Silk-a link discovery framework for the web of data,"['Julius Volz', 'C. Bizer', 'M. Gaedke', 'Georgi Kobilarov']",2009,498,"Web of Data is built upon two simple ideas: Employ the RDF data model to publish structured data on the Web and to set explicit RDF links between entities within different data sources. This paper presents the Silk - Link Discovery Framework, a tool for finding relationships between entities within different data sources. Data publishers can use Silk to set RDF links from their data sources to other data sources on the Web. Silk features a declarative language for specifying which types of RDF links should be discovered between data sources as well as which conditions entities must fulfill in order to be interlinked. Link conditions may be based on various similarity metrics and can take the graph around entities into account, which is addressed using a path-based selector language. Silk accesses data sources over the SPARQL protocol and can thus be used without having to replicate datasets locally.","['entity', 'link', 'condition', 'language', 'Data', 'data', 'RDF', 'Link', 'source', 'Silk', 'Web', 'set']"
Discovering and maintaining links on the web of data,"['Julius Volz', 'C. Bizer', 'M. Gaedke', 'Georgi Kobilarov']",2009,384,"The Web of Data is built upon two simple ideas: Employ the RDF data model to publish structured data on the Web and to create explicit data links between entities within different data sources. This paper presents the Silk --- Linking Framework, a toolkit for discovering and maintaining data links between Web data sources. Silk consists of three components: 1. A link discovery engine, which computes links between data sources based on a declarative specification of the conditions that entities must fulfill in order to be interlinked; 2. A tool for evaluating the generated data links in order to fine-tune the linking specification; 3. A protocol for maintaining data links between continuously changing data sources. The protocol allows data sources to exchange both linksets as well as detailed change information and enables continuous link recomputation. The interplay of all the components is demonstrated within a life science use case.","['link', 'data', 'source', 'Web']"
Object-oriented web application development,"['H. Gellersen', 'M. Gaedke']",1999,185,"Most Web applications are still developed ad hoc. One reason is the gap between established software design concepts and the low-level Web implementation model. We summarize work on WebComposition, a model for Web application development, then introduce the WebComposition Markup Language, an XML-based language that implements the model. WCML embodies object-oriented principles such as modularity, abstraction and encapsulation.","['model', 'application', 'modularity', 'principle', 'introduce', 'encapsulation', 'ad', 'software', 'embodies', 'concept', 'Web', 'work', 'Language', 'developed', 'established', 'lowlevel', 'WCML', 'XMLbased', 'implement', 'WebComposition', 'implementation', 'hoc', 'development', 'gap', 'summarize', 'language', 'Markup', 'abstraction', 'reason']"
Interoperability in internet of things: Taxonomies and open challenges,"['Mahda Noura', 'Mohammed Atiquzzaman', 'M. Gaedke']",2018,209,"In the last few years, many smart objects found in the physical world are interconnected and communicate through the existing internet infrastructure which creates a global network infrastructure called the Internet of Things (IoT). Research has shown a substantial development of solutions for a wide range of devices and IoT platforms over the past 6-7 years. However, each solution provides its own IoT infrastructure, devices, APIs, and data formats leading to interoperability issues. Such interoperability issues are the consequence of many critical issues such as vendor lock-in, impossibility to develop IoT application exposing cross-platform, and/or cross-domain, difficulty in plugging non-interoperable IoT devices into different IoT platforms, and ultimately prevents the emergence of IoT technology at a large-scale. To enable seamless resource sharing between different IoT vendors, efforts by several academia, industry, and standardization bodies have emerged to help IoT interoperability, i.e., the ability for multiple IoT platforms from different vendors to work together. This paper performs a comprehensive survey on the state-of-the-art solutions for facilitating interoperability between different IoT platforms. Also, the key challenges in this topic is presented.","['IoT', 'interoperability', 'infrastructure', 'device', 'platform', 'solution']"
WebComposition: an object-oriented support system for the Web engineering lifecycle,"['H. Gellersen', 'Robert Wicke', 'M. Gaedke']",1997,136,"Maintenance of web applications is a difficult and error-prone task because many design decisions are not directly accessible at run time, but rather embedded in file-based resources. In this paper we introduce the WebComposition system addressing this problem. This system is based on a fine-grained object-oriented web application model, and maintains access to it throughout the lifecycle for management and maintenance activities. Modifications of the model are made effective in the web by incrementally mapping the model to file-based resources.","['model', 'web', 'filebased', 'access', 'design', 'finegrained', 'introduce', 'addressing', 'effective', 'maintains', 'resource', 'application', 'errorprone', 'problem', 'WebComposition', 'accessible', 'Maintenance', 'objectoriented', 'time', 'task']"
A modeling approach to federated identity and access management,"['M. Gaedke', 'J. Meinecke', 'M. Nussbaumer']",2005,41,"As the Web is increasingly used as a platform for heterogeneous applications, we are faced with new requirements to authentication, authorization and identity management. Modern architectures have to control access not only to single, isolated systems, but to whole business-spanning federations of applications and services. This task is complicated by the diversity of today's specifications concerning e.g. privacy, system integrity and distribution in the web. As an approach to such problems, in this paper, we introduce a solution catalogue of reusable building blocks for Identity and Access Management (IAM). The concepts of these blocks have been realized in a configurable system that supports IAM solutions for Web-based applications.","['IAM', 'solution', 'block', 'application']"
Mockup-driven development: providing agile support for model-driven web engineering,"['J. Rivero', 'J. Grigera', 'G. Rossi', 'Esteban Robles Luna', 'Francisco Montero Simarro', 'M. Gaedke']",2014,68,"Context: Agile software development approaches are currently becoming the industry standard for Web Application development. On the other hand, Model-Driven Web Engineering (MDWE) methodologies are known to improve productivity when building this kind of applications. However, current MDWE methodologies tend to ignore important aspects of Web Applications development supported by agile processes, such as constant customer feedback or early design of user interfaces. Objective: In this paper we analyze the difficulties of supporting agile features in MDWE methodologies. Then, we propose an approach that eases the incorporation of well-known agile practices to MDWE. Method: We propose using User Interface prototypes (usually known as mockups) as a way to start the modeling process in the context of a mixed agile-MDWE process. To assist this process, we defined a lightweight metamodel that allows modeling features over mockups, interacting with end-users and generating MDWE models. Then, we conducted a statistical evaluation of both approaches (traditional vs. mockup-based modeling). Results: First we comment on how agile features can be added to MDWE processes using mockups. Then, we show by means of a quantitative study that the proposed approach is faster, less error-prone and still as complete as traditional MDWE processes. Conclusion: The use of mockups to guide the MDWE process helps in the reduction of the development cycle as well as in the incorporation of agile practices in the model-driven workflow. Complete MDWE models can be built and generated by using lightweight modeling over User Interface mockups, and this process suggests being more efficient, in terms of errors and effort, than traditional modeling in MDWE.",
Development and evolution of web-applications using the webcomposition process model,"['M. Gaedke', 'G. Gräf']",2001,56,From a software engineering perspective the World Wide Web is a new application platform. The implementation model that the Web is based on makes it difficult to apply classic process models to the development and even more the evolution of Web-applications. Component-based software development seems to be a promising approach for addressing key requirements of the very dynamic field of Web-application development and evolution. But such an approach requires dedicated support. The WebComposition Process Model addresses this requirement by describing the component-based development of Web-applications. It uses an XML-based markup language to seamlessly integrate with existing Web-standards. For the coordination of components the concept of an open process model with an explicit support for reuse is introduced. By describing application domains using domain-components the process model addresses the need for a controlled evolution of Web applications.,"['process', 'support', 'approach', 'describing', 'development', 'requirement', 'address', 'Webapplications', 'software', 'model', 'Web', 'application', 'evolution']"
Silk-a link discovery framework for the web of data,"['Julius Volz', 'C. Bizer', 'M. Gaedke', 'Georgi Kobilarov']",2009,498,"Web of Data is built upon two simple ideas: Employ the RDF data model to publish structured data on the Web and to set explicit RDF links between entities within different data sources. This paper presents the Silk - Link Discovery Framework, a tool for finding relationships between entities within different data sources. Data publishers can use Silk to set RDF links from their data sources to other data sources on the Web. Silk features a declarative language for specifying which types of RDF links should be discovered between data sources as well as which conditions entities must fulfill in order to be interlinked. Link conditions may be based on various similarity metrics and can take the graph around entities into account, which is addressed using a path-based selector language. Silk accesses data sources over the SPARQL protocol and can thus be used without having to replicate datasets locally.","['entity', 'link', 'condition', 'language', 'Data', 'data', 'RDF', 'Link', 'source', 'Silk', 'Web', 'set']"
Exploiting single-user web applications for shared editing: a generic transformation approach,"['M. Heinrich', 'F. Lehmann', 'T. Springer', 'M. Gaedke']",2012,55,"In the light of the Web 2.0 movement, web-based collaboration tools such as Google Docs have become mainstream and in the meantime serve millions of users. Apart from established collaborative web applications, numerous web editors lack multi-user support even though they are suitable for collaborative work. Enhancing these single-user editors with shared editing capabilities is a costly endeavor since the implementation of a collaboration infrastructure (accommodating conflict resolution, document synchronization, etc.) is required. In this paper, we present a generic transformation approach capable of converting single-user web editors into multi-user editors. Since our approach only requires the configuration of a generic collaboration infrastructure (GCI), the effort to inject shared editing support is significantly reduced in contrast to conventional implementation approaches neglecting reuse. We also report on experimental results of a user study showing that converted editors meet user requirements with respect to software and collaboration qualities. Moreover, we define the characteristics that editors must adhere to in order to leverage the GCI.","['editor', 'approach', 'collaboration', 'web', 'user', 'infrastructure']"
